genome_id	genome_name	taxon_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	vendor	testing_standard	testing_standard_year	source
985002.138	Staphylococcus argenteus strain 3688STDY6125076	985002	oxacillin	Susceptible											
985002.138	Staphylococcus argenteus strain 3688STDY6125076	985002	penicillin	Resistant											
985002.138	Staphylococcus argenteus strain 3688STDY6125076	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	cefoxitin	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	clindamycin	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	erythromycin	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	fosfomycin	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	fusidic acid	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	gentamicin	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	levofloxacin	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	oxacillin	Susceptible											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	penicillin	Resistant											
985002.94	Staphylococcus argenteus strain 3688STDY6125077	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	cefoxitin	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	clindamycin	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	erythromycin	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	fosfomycin	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	fusidic acid	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	gentamicin	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	levofloxacin	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	oxacillin	Susceptible											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	penicillin	Resistant											
985002.137	Staphylococcus argenteus strain 3688STDY6125078	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	cefoxitin	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	clindamycin	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	erythromycin	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	fosfomycin	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	fusidic acid	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	gentamicin	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	levofloxacin	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	oxacillin	Susceptible											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	penicillin	Resistant											
985002.136	Staphylococcus argenteus strain 3688STDY6125079	985002	trimethoprim/sulfamethoxazole	Susceptible											
