genome_id	genome.publication	genome.bioproject_accession	genome.biosample_accession	genome.assembly_accession	genome.genbank_accessions	genome.refseq_accessions
1280.8485	26686880	PRJEB5261	SAMEA2340064			
1280.8485	26686880	PRJEB5261	SAMEA2340064			
1280.8485	26686880	PRJEB5261	SAMEA2340064			
1280.8485	26686880	PRJEB5261	SAMEA2340064			
1280.8485	26686880	PRJEB5261	SAMEA2340064			
1280.8485	26686880	PRJEB5261	SAMEA2340064			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9811	26686880	PRJEB5261	SAMEA2340065			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.9812	26686880	PRJEB5261	SAMEA2340066			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.8482	26686880	PRJEB5261	SAMEA2340067			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9813	26686880	PRJEB5261	SAMEA2340068			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9814	26686880	PRJEB5261	SAMEA2340069			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9816	26686880	PRJEB5261	SAMEA2340070			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9815	26686880	PRJEB5261	SAMEA2340071			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9817	26686880	PRJEB5261	SAMEA2340072			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
