file_name	sheet_name	isolate_id	accession	drug	mic_sign	mic	sir_call	notes
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		NAL	=	8.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		STR	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		SXT	>	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		TRI	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		STR	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		SXT	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S03558-99		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04322-99		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04322-99		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04322-99		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04322-99		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04322-99		NAL	<=	4.0		
