Supplementary Data 11													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
M_SRA	SRR900990	SRR900990	Mycobacterium kansasii										
M_SRA	SRR901011	SRR901011	Mycobacterium kansasii										
M_SRA	SRR901012	SRR901012	Mycobacterium kansasii										
M_SRA	SRR901077	SRR901077	Mycobacterium kansasii										
M_SRA	SRR901078	SRR901078	Mycobacterium kansasii										
M_SRA	DRR016026	DRR016026	Mycobacterium lentiflavum										
M_SRA	SRR020800	SRR020800	Mycobacterium leprae										
M_SRA	SRR062543	SRR062543	Mycobacterium leprae										
M_SRA	SRR062544	SRR062544	Mycobacterium leprae										
M_SRA	SRR062638	SRR062638	Mycobacterium leprae										
M_SRA	SRR1132821	SRR1132821	Mycobacterium leprae										
M_SRA	SRR770761	SRR770761	Mycobacterium leprae										
M_SRA	SRR770769	SRR770769	Mycobacterium leprae										
M_SRA	SRR770772	SRR770772	Mycobacterium leprae										
M_SRA	SRR770773	SRR770773	Mycobacterium leprae										
M_SRA	SRR770774	SRR770774	Mycobacterium leprae										
M_SRA	SRR770775	SRR770775	Mycobacterium leprae										
M_SRA	SRR770776	SRR770776	Mycobacterium leprae										
M_SRA	SRR770777	SRR770777	Mycobacterium leprae										
M_SRA	SRR799324	SRR799324	Mycobacterium leprae										
M_SRA	SRR799329	SRR799329	Mycobacterium leprae										
M_SRA	SRR799346	SRR799346	Mycobacterium leprae										
M_SRA	DRR016044	DRR016044	Mycobacterium malmoense										
M_SRA	DRR016046	DRR016046	Mycobacterium malmoense										
M_SRA	DRR016027	DRR016027	Mycobacterium marinum										
M_SRA	ERR007647	ERR007647	Mycobacterium marinum										
M_SRA	SRR1295974	SRR1295974	Mycobacterium marinum										
M_SRA	SRR1295975	SRR1295975	Mycobacterium marinum										
M_SRA	SRR1295977	SRR1295977	Mycobacterium marinum										
M_SRA	SRR915674	SRR915674	Mycobacterium marinum										
M_SRA	SRR915981	SRR915981	Mycobacterium marinum										
M_SRA	DRR016028	DRR016028	Mycobacterium mucogenicum										
M_SRA	DRR017865	DRR017865	Mycobacterium pallens										
M_SRA	DRR015955	DRR015955	Mycobacterium peregrinum										
M_SRA	DRR016043	DRR016043	Mycobacterium peregrinum										
M_SRA	DRR016050	DRR016050	Mycobacterium peregrinum										
M_SRA	SRR647673	SRR647673	Mycobacterium phage										
M_SRA	SRR647674	SRR647674	Mycobacterium phage										
M_SRA	SRR647675	SRR647675	Mycobacterium phage										
M_SRA	DRR017862	DRR017862	Mycobacterium pyrenivorans										
M_SRA	SRR071368	SRR071368	Mycobacterium rhodesiae										
M_SRA	SRR071370	SRR071370	Mycobacterium rhodesiae										
M_SRA	DRR017853	DRR017853	Mycobacterium rufum										
M_SRA	DRR017866	DRR017866	Mycobacterium rutilum										
M_SRA	DRR016029	DRR016029	Mycobacterium scrofulaceum										
M_SRA	DRR016030	DRR016030	Mycobacterium senegalense										
M_SRA	ERR224434	ERR224434	Mycobacterium smegmatis										
M_SRA	ERR224435	ERR224435	Mycobacterium smegmatis										
M_SRA	ERR224436	ERR224436	Mycobacterium smegmatis										
M_SRA	ERR224437	ERR224437	Mycobacterium smegmatis										
M_SRA	ERR274357	ERR274357	Mycobacterium smegmatis										
M_SRA	ERR274358	ERR274358	Mycobacterium smegmatis										
M_SRA	ERR274359	ERR274359	Mycobacterium smegmatis										
M_SRA	ERR274360	ERR274360	Mycobacterium smegmatis										
M_SRA	ERR274361	ERR274361	Mycobacterium smegmatis										
M_SRA	ERR274362	ERR274362	Mycobacterium smegmatis										
M_SRA	ERR274363	ERR274363	Mycobacterium smegmatis										
M_SRA	ERR274364	ERR274364	Mycobacterium smegmatis										
M_SRA	ERR274366	ERR274366	Mycobacterium smegmatis										
M_SRA	ERR274368	ERR274368	Mycobacterium smegmatis										
M_SRA	ERR274369	ERR274369	Mycobacterium smegmatis										
M_SRA	ERR274370	ERR274370	Mycobacterium smegmatis										
M_SRA	ERR274371	ERR274371	Mycobacterium smegmatis										
M_SRA	ERR274425	ERR274425	Mycobacterium smegmatis										
M_SRA	ERR274426	ERR274426	Mycobacterium smegmatis										
M_SRA	ERR274427	ERR274427	Mycobacterium smegmatis										
M_SRA	ERR274470	ERR274470	Mycobacterium smegmatis										
M_SRA	ERR274471	ERR274471	Mycobacterium smegmatis										
