"Supplementary Dataset 1. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clol Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_A1	C00003292	ERS397792	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003290	ERS397790	aureus	121		R	R	S	S	S	S	S	S		S		S
St_A1	C00003291	ERS397791	aureus	12	cc12	S	R	S	S	S	S	S	S		S		S
St_A1	C00003195	ERS397699	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003194	ERS397698	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003197	ERS397701	aureus	72		S	R	S	S	S	S	S	S		S		S
St_A1	C00003196	ERS397700	aureus	47		S	S	S	S	S	S	S	S		S		S
St_A1	C00003190	ERS397694	aureus	1281		S	R	S	R	S	S	S	S		S		S
St_A1	C00003193	ERS397697	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003192	ERS397696	aureus	34	cc34	S	R	S	S	S	S	S	S		S		S
St_A1	C00003199	ERS397703	aureus	580		S	R	S	S	S	S	S	S		S		S
St_A1	C00003410	ERS397902	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00008994	ERS397995	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003229	ERS397732	aureus	12	cc12	S	R	S	S	S	S	S	R		S		S
St_A1	C00003228	ERS397731	aureus	22	cc22	S	R	S	S	S	S	S	S		S		S
St_A1	C00003223	ERS397726	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003222	ERS397725	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003221	ERS397724	aureus	199		S	R	S	S	S	R	S	S		S		S
St_A1	C00003220	ERS397723	aureus	6	cc6	S	R	S	S	S	S	S	S		S		S
St_A1	C00003227	ERS397730	aureus	22	cc22	S	R	S	R	S	S	S	S		S		S
St_A1	C00003226	ERS397729	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003225	ERS397728	aureus	8	cc8	S	R	S	S	S	S	S	S		S		S
St_A1	C00003224	ERS397727	aureus	188		S	R	S	S	S	S	S	R		S		S
St_A1	C00003340	ERS397834	aureus			S	R	S	S	S	S	S	S		R		S
St_A1	C00008972	ERS397990	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003343	ERS397836	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003344	ERS397837	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00003345	ERS397838	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003346	ERS397839	aureus	8	cc8	S	R	S	S	S	S	S	S		S		S
St_A1	C00003348	ERS397841	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003349	ERS397842	aureus	15	cc15	S	R	S	R	S	S	S	S		S		S
St_A1	C00008636	ERS397978	aureus	1	cc1	S	R		S	S	S	S	S	S	R	S	S
St_A1	C00008630	ERS397974	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00008985	ERS397994	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00008984	ERS397993	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00009018	ERS398001	aureus	22	cc22	S	R		S	R	R	S	S	S	S	S	S
